Date,Open,High,Low,Close,Adj Close,Volume
2023-05-19,1.000017,1.000757,0.999496,1.000248,1.000248,17414028938
2023-05-20,1.000250,1.000578,1.000016,1.000399,1.000399,11851408172
2023-05-21,1.000476,1.000705,1.000090,1.000183,1.000183,13532622119
2023-05-22,1.000142,1.000834,0.999855,1.000201,1.000201,17216429735
2023-05-23,1.000245,1.000628,0.999703,1.000104,1.000104,21420969303
2023-05-24,1.000061,1.000449,0.999595,1.000039,1.000039,25306791660
2023-05-25,0.999950,1.000374,0.999480,1.000046,1.000046,20956153601
2023-05-26,0.999998,1.000976,0.999764,1.000344,1.000344,19111705070
2023-05-27,1.000383,1.000904,1.000041,1.000504,1.000504,12433601962
2023-05-28,1.000553,1.000825,0.999897,1.000173,1.000173,21242373192
2023-05-29,1.000353,1.000630,0.999794,1.000244,1.000244,22313821215
2023-05-30,1.000267,1.000871,0.999902,1.000153,1.000153,21495789250
2023-05-31,1.000203,1.000878,0.999714,1.000334,1.000334,23174506660
2023-06-01,1.000214,1.000635,0.999432,1.000334,1.000334,20725195153
2023-06-02,1.000367,1.000626,0.999749,1.000383,1.000383,20867435500
2023-06-03,1.000392,1.000622,1.000025,1.000159,1.000159,13418796255
2023-06-04,1.000183,1.000631,0.999900,1.000151,1.000151,14904403851
2023-06-05,1.000203,1.000628,0.999396,1.000306,1.000306,33807354175
2023-06-06,1.000353,1.000674,0.999465,1.000174,1.000174,30910972861
2023-06-07,1.000170,1.000681,0.999781,1.000066,1.000066,28078183756
2023-06-08,1.000157,1.000620,0.999662,1.000311,1.000311,18183759822
2023-06-09,1.000203,1.000625,0.999614,0.999949,0.999949,18180149900
2023-06-10,1.000012,1.001111,0.999721,1.000439,1.000439,39594900162
2023-06-11,1.000481,1.000951,1.000078,1.000315,1.000315,17537918491
2023-06-12,1.000185,1.001113,0.999483,1.000055,1.000055,21083018568
2023-06-13,0.999973,1.000500,0.999447,0.999862,0.999862,23706670402
2023-06-14,0.999815,1.000723,0.998983,0.999837,0.999837,23021035089
2023-06-15,0.999812,1.000117,0.995761,0.999183,0.999183,26724033220
2023-06-16,0.999142,0.999629,0.998432,0.999330,0.999330,22643402807
2023-06-17,0.999356,1.000118,0.999003,0.999704,0.999704,16785486745
2023-06-18,0.999711,1.000442,0.999443,0.999808,0.999808,14276388752
2023-06-19,0.999749,1.000285,0.999224,0.999862,0.999862,17980147544
2023-06-20,0.999777,1.000964,0.999322,1.000385,1.000385,27490561659
2023-06-21,1.000281,1.000842,0.999280,1.000053,1.000053,41597850081
2023-06-22,1.000182,1.000807,0.999151,1.000184,1.000184,31071097282
2023-06-23,1.000225,1.001391,0.999911,1.000566,1.000566,31145738921
2023-06-24,1.000607,1.001013,1.000183,1.000521,1.000521,20749225264
2023-06-25,1.000467,1.000933,0.999950,1.000465,1.000465,21373038596
2023-06-26,1.000563,1.000836,0.999629,1.000212,1.000212,26117984793
2023-06-27,1.000219,1.000604,0.999600,1.000195,1.000195,23449790413
2023-06-28,1.000095,1.000696,0.999531,1.000025,1.000025,23894930229
2023-06-29,1.000081,1.000545,0.999648,0.999830,0.999830,21010132360
2023-06-30,0.999702,1.000638,0.999200,1.000081,1.000081,43642431673
2023-07-01,0.999819,1.000728,0.999508,1.000129,1.000129,19795362801
2023-07-02,1.000108,1.000833,0.999716,1.000085,1.000085,20337659643
2023-07-03,1.000049,1.000817,0.999707,0.999998,0.999998,26282530169
2023-07-04,0.999945,1.000882,0.999797,1.000301,1.000301,20970952942
2023-07-05,1.000391,1.000683,0.999583,1.000094,1.000094,21584664810
2023-07-06,1.000009,1.000719,0.999530,1.000206,1.000206,30430114230
2023-07-07,1.000039,1.000730,0.999636,0.999959,0.999959,21072109064
2023-07-08,1.000129,1.000745,0.999870,1.000187,1.000187,13426621991
2023-07-09,1.000210,1.000917,0.999890,1.000204,1.000204,13296750364
2023-07-10,1.000226,1.000776,0.999631,1.000056,1.000056,23313495695
2023-07-11,1.000119,1.000801,0.999774,1.000073,1.000073,18221606248
2023-07-12,1.000103,1.000939,0.999662,0.999934,0.999934,20685690690
2023-07-13,1.000069,1.001254,0.999709,1.000373,1.000373,41556380527
2023-07-14,1.000554,1.001421,0.999868,1.000725,1.000725,39502042324
2023-07-15,1.000718,1.001204,1.000018,1.000365,1.000365,18925797737
2023-07-16,1.000297,1.000948,1.000010,1.000607,1.000607,17514358400
2023-07-17,1.000612,1.000972,0.999783,1.000220,1.000220,24482827973
2023-07-18,1.000272,1.000723,0.999562,1.000158,1.000158,22117323145
2023-07-19,1.000134,1.000852,0.999647,1.000230,1.000230,21629091201
2023-07-20,1.000173,1.000852,0.999616,1.000079,1.000079,25849427845
2023-07-21,1.000070,1.000608,0.999544,1.000216,1.000216,21736934537
2023-07-22,1.000169,1.001013,0.999849,0.999861,0.999861,15361411060
2023-07-23,1.000115,1.001127,0.999769,0.999897,0.999897,15719491555
2023-07-24,0.999988,1.000592,0.999121,1.000011,1.000011,24790908035
2023-07-25,1.000016,1.000704,0.999517,0.999829,0.999829,18046684131
2023-07-26,0.999899,1.000780,0.999551,1.000101,1.000101,22065183057
2023-07-27,1.000056,1.000603,0.999379,0.999590,0.999590,17964435031
2023-07-28,0.999675,1.000478,0.999421,1.000106,1.000106,17371797760
2023-07-29,1.000109,1.000581,0.999728,1.000054,1.000054,11962846967
2023-07-30,1.000079,1.000620,0.999794,0.999893,0.999893,15914742870
2023-07-31,0.999924,1.000504,0.999488,0.999911,0.999911,18354638255
2023-08-01,0.999915,1.000495,0.998989,0.999522,0.999522,27115449240
2023-08-02,0.999544,1.000287,0.998896,0.999326,0.999326,26312546015
2023-08-03,0.999284,0.999820,0.998642,0.999448,0.999448,20365437032
2023-08-04,0.999356,0.999667,0.998396,0.998602,0.998602,20189124066
2023-08-05,0.998631,0.999229,0.998295,0.998983,0.998983,14278737533
2023-08-06,0.999018,0.999272,0.998196,0.998382,0.998382,14800094198
2023-08-07,0.998295,0.999446,0.997796,0.998818,0.998818,23981817200
2023-08-08,0.998841,1.000624,0.998482,0.999718,0.999718,25874561718
2023-08-09,0.999724,1.000264,0.998915,0.999425,0.999425,22920990916
2023-08-10,0.999369,0.999833,0.998651,0.999012,0.999012,18525528096
2023-08-11,0.998940,0.999591,0.998356,0.998969,0.998969,16439483171
2023-08-12,0.998986,0.999896,0.998986,0.999453,0.999453,11930000390
2023-08-13,0.999468,0.999900,0.999107,0.999250,0.999250,14122729675
2023-08-14,0.999266,0.999876,0.998431,0.999184,0.999184,20154696560
2023-08-15,0.999168,0.999464,0.998393,0.998965,0.998965,21720437145
2023-08-16,0.998917,0.999407,0.998605,0.998856,0.998856,24501625172
2023-08-17,0.998843,1.000698,0.998357,1.000386,1.000386,46202367641
2023-08-18,1.000285,1.000666,0.999001,0.999830,0.999830,34300507987
2023-08-19,0.999717,1.000446,0.999465,0.999860,0.999860,17888080535
2023-08-20,0.999899,1.000330,0.999656,0.999995,0.999995,15722340351
2023-08-21,0.999942,1.000363,0.999358,0.999835,0.999835,21350289570
2023-08-22,0.999796,1.000329,0.999347,0.999466,0.999466,24087904847
2023-08-23,0.999613,1.000727,0.999256,0.999899,0.999899,25410027986
2023-08-24,0.999829,1.000144,0.999321,0.999426,0.999426,20070736123
2023-08-25,0.999484,1.000160,0.999276,0.999494,0.999494,19999153582
2023-08-26,0.999481,0.999999,0.999217,0.999539,0.999539,11240935990
2023-08-27,0.999520,1.000119,0.999334,0.999521,0.999521,12072570625
2023-08-28,0.999512,1.000174,0.999137,0.999327,0.999327,18160207139
2023-08-29,0.999328,1.001128,0.998984,1.000038,1.000038,39257157473
2023-08-30,1.000091,1.000627,0.999619,1.000128,1.000128,22718699935
2023-08-31,1.000037,1.000589,0.999641,0.999846,0.999846,27302426037
2023-09-01,0.999813,1.000365,0.999159,0.999712,0.999712,25428948060
2023-09-02,0.999700,1.000319,0.999495,1.000133,1.000133,16557766093
2023-09-03,1.000018,1.000469,0.999699,0.999974,0.999974,14510340452
2023-09-04,0.999857,1.000127,0.999442,0.999645,0.999645,17920742517
2023-09-05,0.999561,0.999952,0.999116,0.999584,0.999584,18323727990
2023-09-06,0.999668,1.000197,0.999133,0.999552,0.999552,19715200487
2023-09-07,0.999482,1.000157,0.999188,0.999758,0.999758,18242134001
2023-09-08,0.999760,1.000285,0.999388,0.999778,0.999778,17906934253
2023-09-09,0.999723,1.000322,0.999489,0.999734,0.999734,10128707374
2023-09-10,0.999719,1.000238,0.999515,0.999613,0.999613,15171173010
2023-09-11,0.999572,1.000455,0.999401,0.999701,0.999701,24658044680
2023-09-12,0.999722,1.000521,0.999439,1.000037,1.000037,26626307087
2023-09-13,0.999960,1.000746,0.999708,1.000243,1.000243,20526953164
2023-09-14,1.000276,1.000763,0.999822,1.000260,1.000260,21251601415
2023-09-15,1.000253,1.000757,0.999842,1.000343,1.000343,19295499486
2023-09-16,1.000111,1.000913,0.999987,1.000298,1.000298,14317870597
